Name,Bag_of_words
The Science of Beer,ever taken sip beer wondered tastes certain way effect alcohol bodyin course learn including made raw materials used supply chain marketed consumption bodyafter tasting entirely new sensation enjoy even since better understand whats inside drink mention responsible drinker important know effects health gain natural view allowing form wellgrounded opinionthis mooc developed students wageningen university research honour 100 year anniversary received guidance professors experts field food production risks marketing logistics sustainable chains ensure highquality learning experience everyone teachers truly peersso interested science behind register nutrition
Strategic Social Media Marketing,social media technologies continuously transforming ways consumers interact firms changes constitute fundamental shift marketplaceconsumers greater opportunities voice opinions connect peers well increased influence marketers brands course part digital product management micromasters program examine organizations capitalize consumertoconsumer interactions support marketing efforts view issues strategic practical perspective rather technical platform give knowledge need create engaging content platforms facebook instagram twitter snapchat identify influencers deliver targeted audience measure success understanding crucial managers operating environment learn use conversations inform decisionmaking leverage promote products services brand additionally learners gain used achieve specific organizational objectives effectiveness business
CS50's Introduction to Artificial Intelligence with Python,ai transforming live work play enabling new technologies like selfdriving cars recommendation systems improving old ones medical diagnostics search engines demand expertise machine learning growing rapidly course enable take first step toward solving important realworld problems futureproofing careercs50 ’ introduction artificial intelligence python explores concepts algorithms foundation modern diving ideas give rise gameplaying handwriting recognition translation handson projects students gain exposure theory behind graph classification optimization reinforcement topics incorporate programs end emerge experience libraries well knowledge principles design intelligent ownenroll one fastestgrowing domains computer science creators popular courses ever cs50 learn theoretical frameworks gaining practical apply powerful techniques
Rhetoric: The Art of Persuasive Writing and Public Speaking,living contentious time history fundamental disagreements critical policy economic political issues make essential learn compose effectiveargument analyze arguments others ability help engage civil discourse needed changes society conveying convincing message benefit personal public professional livesthis course introduction theory practice rhetoric art persuasive writing speech construct defend compelling crucial skill many settings using selected speeches prominent twentiethcentury americans including martin luther king jr john f kennedy margaret chase smith ronald reagan explore rhetorical structure style analysis speakers writers persuade audience adopt point viewbuilt around harvard professor james engells oncampus elements apply appreciate relevance communication life understand recognize someone trying inspired share viewpoint discover powerful ways convince champion cause join us find voice humanities
CS50's Web Programming with Python and JavaScript,topics include database design scalability security user experience handson projects youll learn write use apis create interactive uis leverage cloud services like github heroku courses end emerge knowledge principles languages tools empower deploy applications internet computer science
Contract Law: From Trust to Promise to Contract,learn contracts harvard law professor charles fried one worlds leading authorities contract promises enforce refuse honor promise happens party hold part deal version course adds new units interpretation agency partnerships corporations government regulationwe exposed areas life agreeing terms downloading computer program hiring contractor repair leaking roof even ordering meal restaurant knowing principles skill needed lawyers illuminates everyone crucial institution use time generally take grantedthis materials updated case examples designed introduce range issues arise entering enforcing provide introduction also analyze purpose significance discuss intent create legal relations legality morality distinction gifts bargains investigates common pitfalls onesided mistake fraud frustration knowledge makes go wrong remedies specific performance finally rights third partiesthe courses instructor teaching school 50 years written extensively authority utilizes storytelling approach explaining topic creates unique interesting class experience business management
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",fundamentals neuroscience threecourseseries explores structure function nervous system — inner workings single nerve cell staggering complexity brain social interactions enable first course youll learn individual neurons use electricity transmit information build neuron piece using interactive simulations travel around harvards campus see lab conduct diy experiments join us study electrical properties building foundation understanding entire biology life sciences
Justice,taught lauded harvard professor michael sandel justice explores critical analysis classical contemporary theories including discussion presentday applications topics include affirmative action income distribution samesex marriage role markets debates rights human property arguments equality dilemmas loyalty public private life course invites learners subject views controversies examinationthe principal readings texts aristotle john locke immanuel kant stuart mill rawls assigned writings philosophers court cases articles political raise philosophical questions humanities
Data Science: Machine Learning,perhaps popular data science methodologies come machine learning distinguishes computer guided decision processes builds prediction algorithms using products use include handwriting readers implemented postal service speech recognition movie recommendation systems spam detectors coursepart ofourprofessional certificate program learn principal component analysis regularization building system training set discover potentially predictive relationships build train predict outcome future datasets also overtraining techniques avoid crossvalidation skills fundamental statistics
Child Protection: Children's Rights in Theory and Practice,across world children riskfrom violence abuse exploitation neglect conflict natural disasters forced millions flee homes confront dangers migration displacement commercial sexual trafficking child labor marriage problems many countries atrisk adolescents need rights enforcedif protect harm ensure develop full potential led jacqueline bhabha research director harvard fxb center health human course teach causes consequences protection failures consider strategies international laws standards resources required able link legal frameworks childrights approaches work policymakers lawyers workers educators law enforcement social learners come understand apply join faculty practitioners global community master childcentered systems approach preventing responding sciences
IELTS Academic Test Preparation,ielts worlds popular english language test wanting study higher education englishspeaking countrythis course prepare take academic tests confidence immediate access 80 hours interactive practice materials covering four skills listening speaking reading writingthis innovative preparation designed written experienced teaching professionals university queensland testing centre one leading centres learning writers extensive experience enabling students reach goal entering primary languageeach section includes engaging multimedia presentations reviewing key testtaking strategies techniques accompanied wide variety authentic ieltsstyle exercises activities provide focused need perform bestin new release find number enhancements alreadysuccessful formula appears videos improvements explanation answers well significantly responded requests existing users offer comprehensive feedback writing using several featuresas selfpaced complete units sequence select areas want focus completing feel fully prepared testsstudents verified enrolment additional provided ieltsx team communication
The Architectural Imagination,architecture engages culture ’ deepest social values expresses material aesthetic form course teach understand cultural expression technical achievement vivid analyses exemplary buildings handson exercises drawing modeling bring closer work architects historiansthe first part introduces idea architectural imagination perspective typology explored introduced challenges writing historythen address technology component discover ways innovative enable promote new experiences disrupt ageold traditions technological advances changed could built even thought architecturefinally well confront complex relationship historical contexts audiences achievements aspirations learn power representation see produce collective meaning memoryarchitecture one complexly negotiated globally recognized practices academic subject professional career production involves political economic issues play within given society join us examine mediates aspirationsthis eligible american institute aia continuing education units ceus enroll options earning credit
TOEFL® Test Preparation: The Insider’s Guide,test preparation course developed experts create administer score toefl help english language learners improve skillsthe world ’ trusted widely accepted englishlanguage assessment helped millions people achieve dreams study work live abroad 11000 institutions higher education government agencies organizations worldwide accept scores making important decisionsthis understand best instructors guide section reading listening speaking writing using archived past questions explain kinds expect receive valuable advice including register scored prepare daythis highly interactive videos sample explanations short quizzes collaborative discussion boards also access real materials tests weeks covering participants practicetest responsesin addition free resources discounted prep offers throughout finally insider tips apply university job dreamswho takes 30 million taken demonstrate proficiencyin response global pandemic ets temporarily offering ibt special home edition meet needs students unable take center identical content format scoring onscreen experience computer monitored human proctor online regardless communication
Principles of Biochemistry,principles biochemistry integrates introduction structure macromolecules biochemical approach cellular function topics addressing protein include enzyme kinetics characterization major metabolic pathways interconnection tightly regulated networks manipulation enzymes mutations drugs exploration simple cells red blood complex tissues muscle liver used framework discuss progression complexity learners also develop problem solving analytical skills generally applicable life sciences medicine
Using Python for Research,course bridges gap beginner advanced courses python many excellent available typically go deep enough apply skills research projects first reviewing basics 3 learn tools commonly used settings version includes new module statistical learningusing combination guided introduction independent indepth exploration get practice various case studies chosen scientific breadth coverage different features computer science
Hinduism Through Its Scriptures,ever wondered sacred scriptures sustained millennia one oldest diverse religions world hinduism want discover lessons history may offer mankind 21st centurythis religion course introduces rich textual sources millions hindus drawn religious inspiration bhagavad gita offered philosophical insights number modern thinkers introduce important passages hindu texts interpretations moderns give opportunity engage humanities
Basic Spanish 1: Getting Started,7week spanish language course aimed students would like learn conversational starting basics introduces everyday includes activities practice four skills reading comprehension writing listening speakingthis introduce a1 proficiency level described common european framework reference languages cefrl council europe 2001 completing prepared ask basic questions conduct brief conversation spanishthis uses materials cultural notes grammar explanations functions etc able monitor progress taking number performance tests final achievement test communication
The Health Effects of Climate Change,worlds climate changing top twenty hottest years ever recorded sixteen occurred last two decades warming already profound effect many feel powerless face challenge make difference looking air quality nutrition infectious diseases human migration course show increases greenhouse gases impact public health experts working variety settings present recommendations responding challenges interested students opportunity learn research methods measure effects change created support harvard global institute explain impacts people around globe also directly affects life though riskrises rising temperatures solvable problem things mitigate risk elegy planet call action enroll reduce harm caused environmental studies
Statistics and R,course teaches r programming language context statistical data analysis life scienceswe learn basics inference order understand compute pvalues confidence intervals analyzing code provide examples way help make connection concepts implementation problem sets requiring used test understanding ability implement basic analyses use visualization techniques explore new determine appropriate approach describe robust alternatives fit assumptions required standard approaches using scripts analyze conducting reproducible researchgiven diversity educational background students divided materials seven parts take entire series individual courses interest statistician consider skipping first two three similarly biologists beginner biology lectures note statistics aspects class ramp difficulty relatively quickly across start simple calculations descriptive third teaching advanced hierarchical models fourth software engineering skills parallel computing research conceptsthese professional certificates selfpaceddata sciencesgenomics analysisthis supported part nih grant r25gm114818
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),module course chefs reveal secrets behind famous culinary creations — often right restaurants inspired cooking mastery harvard team explain science recipetopics includeyou also opportunity become experimental scientist laboratory kitchen following along engaging recipe week taking precise measurements making skillful observations learn think like cook lab certainly one unique components eat experiments chemistry
Pyramids of Giza: Ancient Egyptian Art and Archaeology,giza pyramids built cemeteries hundreds decorated tombs around develop ’ contribution first great age ancient egyptian civilization old kingdom plateau — including majestic sphinx stirring examples architecture culture provide windows society also contain mysteries waiting solved opportunity explore history archaeology learn modern methods shaping discipline today beginner course art surrounding pharaohs high officials pyramid follow footsteps 20thcentury expeditions discover cuttingedge digital tools like 3dmodeling reshaping egyptology join us online journey egypt famous archaeological site uncover significance use new techniques unravel temples
"PredictionX: Omens, Oracles & Prophecies",humans always sought know future destiny empire individuals fate across cultures history find people trying place universe attempting gaze futurejoin us oneweek immersive learning experience explore “ prescientific ” prediction systems ranging ancient chinese bone burning oracle delphi modern astrology tarot practitioners harvard faculty leading journey examine details dozen well theoretical frameworks connecting themthis module part predictionx examines efforts predict recorded courses cover topics omens oracles civilizations course discusses evolution general approach science take today includes john snow cholera outbreak 1854 computer simulations role play predicting futures social sciences
Lessons from Ebola: Preventing the Next Pandemic,like event recent history 2014 ebola outbreak made clear fragility existing health systems responding current epidemic critical also opportunity learn lessons prevent next global catastrophe forge partnerships across borders disciplines demonstrate commitment value human livesthis fourweek course provides context understand many people suffer die lays governance structure response supposed look fail feature practitioners experts scholars focus cultivating better understanding implications future ensure world effective preventing pandemic social sciences
Improving Global Health: Focusing on Quality and Safety,improving access healthcare useful quality care provided many agree important – define measure importantly might make better course designed health wish learn improve institutions countries session interactive provide concrete tools students use empower raise questions propose solutions promote change assembled leading thinkers around globe people experts real handson experience running organizations hospitals ministries join us whether physician nurse provider student medicine public policy patient simply cares getting good social sciences
Data Science: Visualization,part professional certificate program data science course covers basics visualization exploratory analysis use three motivating examples ggplot2 package statistical programming language r start simple datasets graduate case studies world health economics infectious disease trends united states well also looking mistakes biases systematic errors unexpected problems often lead handled care fact difficult impossible notice mistake within dataset makes particularly important growing availability informative software tools led increased reliance visualizations across many areas provides powerful way communicate datadriven findings motivate analyses detect flaws give skills need leverage reveal valuable insights advance career statistics
Christianity Through Its Scriptures,christianity global religion modest beginnings 2000 years ago grown encompass nearly third human population diverse languages cultures histories creeds christians nonetheless share common collection sacred scripture called biblethis course introduces bible asks questionsyou begin explore questions others learning content interpretations texts humanities
The Science of Happiness,free eightweek science happiness course offer practical researchbacked tips living happy meaningful life huffington postwe want countless ideas get many based thats comes inthe first mooc teach groundbreaking positive psychology explores roots students engage provocative lessons discovering cuttingedge research applied lives created uc berkeleys greater good center zero fundamental finding inextricably linked strong social connections contributing something bigger yourselfthe learn crossdisciplinary supporting view spanning fields neuroscience evolutionary biology beyondwhats offers strategies tapping nurturing including trying several activities foster emotional wellbeing exploring changes along waythe courses coinstructors dacher keltner emiliana simonthomas leading authorities also gifted teachers skilled making fun personal theyll joined worldrenowned experts discussing themes like empathy mindfulness gratitudeexperts barbara fredrickson paul ekman sonja lyubomirsky jon kabatzinn health professionals register earn continuing education units participationconsider signing friend group tweet registration share facebook use buddy system stay track join conversation page berkeleyx gg101x groupnote selfpaced edx sciences leaders learning harvard university beginner na httpswwwedxorgcourseleadersoflearning explore understand theories leadership gain tools imagine build future us carry explicit implicit manifest ways think learningin identify develop theory fits shifting landscape ’ schools broader world learningthe sector undergoing great transformation coming decades continue change questions reexamined organizational structure physical designharvardx requires individuals enroll abide terms honor code harvardx take appropriate corrective action response violations may include dismissal revocation certificates received remedies circumstances warrant refunds issued case enrollees taking part another program governed academic policies programsharvardx pursues registering online learner hx participate read statement moreharvard committed maintaining safe healthy educational work environment member community excluded participation denied benefits subjected discrimination harassment members expected nondiscrimination sexual service concerns please contact harvardxharvardedu andor report experience form communication exercising foundational principles httpswwwedxorgcourseexercisingleadershipfoundationalprinciples mobilize people tackle tough problems capacity thrive dangers crises time generate enormous adaptive challenges families organizations communities societies need meet improve criticalin changing pressures challenge discover new approach complex systems thoughtful face ahead importantly reflect move forward care mostin short diagnosticandaction process following business management data probability httpswwwedxorgcoursedatascienceprobability essential scientist using study financial crisis 20072008 professional certificate scienceyou valuable concepts motivation surrounding caused risk securities sold institutions underestimated begin complicated event basics introduce important random variables independence monte carlo simulations values standard errors central limit theorem statistical conducting tests understanding whether analyzing likely occurring due experimental method chance mathematical foundation inference indispensable affected thus scientists analysis statistics prescription drug regulation cost access current controversies context httpswwwedxorgcourseprescriptiondrugregulationcostandaccesscurre fda regulates pharmaceuticals debates costs marketing testing drugs among common interventions turnedsome oncefatal diseases manageable conditions — growing source controversy patients struggle increasing express whymany conditionssuch alzheimer disease remain without adequate therapeutic optionsat lies food administration federal agency responsible monitoring marketplace enforcing basic rules laws affect discovered developed soldthis investigates major issues affecting regulatory approval evidencebased willlearn regulationsgoverning pricing safety approved importance regulating key aspects pharmaceutical marketcontinuing medical cme verified successfully complete module 2 development ama pra category 1 credits ™ medicine introduction family engagement httpswwwedxorgcourseintroductiontofamilyengagementineducation successful collaborations educators lead improved outcomes matters success linking better speak directly researchers promising practices fieldfamily describes home support children encompasses shared partnership responsibility schoolsuch school improvement increasingly recognized integral element proficient practice educator teacher training steps japanese beginners1 part1 waseda httpswwwedxorgcoursestepsinjapaneseforbeginners1part12 expressions survive andy exchange student arrived japan greetings introducing dormitory learns taste foods becomes eating mr sato ono two upperclassmen orders hamburger coffee local shops goes daily ・ say ask order language
How to Write an Essay,college writing 21x introduction academic english language learners focusing essay development grammatical correctness selfediting fiveweek course includes review basic grammar terminology understanding effective sentences paragraphs introductions conclusions strategies longer texts thesis statements materials offered via readings videos optional workbook ebook form may used additional work students participate online discussions well peer complete part coursein partnership us department stateuc berkeley partnering state extend reach 2x participating embassies host inperson facilitated sessions around content order maximize learning experience departmentsupported educationusa network also offer locations interested pursuing higher education united states alliance e2a global effort address demand 21st century skills humanities
Energy Within Environmental Constraints,humanity faces immense challenge providing abundant energy everyone without wrecking planet want highenergy future protecting natural world children must consider environmental consequences production use money matters solutions ignore economic costs realistic particularly billions people currently ’ afford access basic services proceed within constraints give answer instead teach ask right questions estimate different choices course isrich details real devices light theory find electrodynamics enough modern commercial solar panels would profitable install given location emphasizes cascade capital operating extraction way end uses also emphasize quantitative comparisons tradeoffs much expensive electricity coal plants pollution prevent power costeffective investment nuclear efficiency include considerations cost intended diverse audience whether student activist policymaker business owner concerned citizen help start think carefully current system improve performance photo credits farm ccby michael mees flickrsmokestack patrick flickr studies
Introduction to Probability,probability statistics help bring logic world replete randomness uncertainty course give tools needed understand data science philosophy engineering economics finance learn solve challenging technical problems also apply solutions everyday life examples ranging medical testing sports prediction gain strong foundation study statistical inference stochastic processes randomized algorithms subjects analysis
AnatomyX: Musculoskeletal Cases,musculoskeletal anatomyx invites students join medical basic science faculty harvard school hms learn injuries commonly seen clinical practice case visit skills center observe initial patient encounter physical examination orthopedic surgeon following complete interactive gross anatomy histology radiology learning sessions essential understanding include observing actual dissections laboratories revealing explaining human relevant caseafter completing review pertinent images commit tentative diagnosis list differential diagnoses accompany virtual operating room surgical treatment narrated videos proceduresclinical content developed close collaboration leading surgeons radiologists brigham women ’ hospitalthis course take inside entering medicine dental health professions study performing anatomical includes photographs including showing cadaver dissection people may find offensive disturbing inappropriate
Data Science: Inference and Modeling,statistical inference modeling indispensable analyzing data affected chance thus essential scientists course learn key concepts motivating case study election forecasting show applied develop approaches make polls effective tool well using r necessary define estimates margins errors use predictions relatively also provide estimate precision forecast able understand two ubiquitous science confidence intervals pvalues statements probability candidate winning bayesian finally end put together recreate simplified version model apply 2016 analysis statistics
Strengthening Community Health Worker Programs,despite medical technological advances half world ’ population lacks access essential health services 89 million preventable deaths occur every year acute global shortage workers gap grow 18 2030 studies show training highperforming community help close gaps save 3 lives annually past decades many worker programs across demonstrated ability — including hardesttoreach areas yet progress lessons successfully scale part national primary systems widely shared course introduces learners core concepts explores needed build strengthen largescale order improve highquality curriculum highlights key components designing addresses common management challenges showcases learned range contributors communitylevel practitioners government leaders experts case exemplar countries ethiopia bangladesh liberia participants learn globe advocate optimize created whether work ministry lead support program mobilize resources increased investment simply interested knowing takes deliver quality care opportunity advance knowledge skills implement critical change taken individually also encouraged convene colleagues within organizations share insights enhance learning experience safety
Buddhism Through Its Scriptures,whether new study buddhism studying practicing years course provide opportunity become acquainted variety buddhist teachings guiding think waysthrough combination carefully selected readings scriptural informational well exposure various forms practice art devotional acts literary works learn interpret reflect upon apply buddha life deepen understanding humanities
Introduction to Linux,develop good working knowledge linux using graphical interface command line covering major distribution familieslinux powers 100 world ’ supercomputers servers powering internet majority financial trades worldwide two billion android devices short everywhere appears many different architectures mainframes server desktop mobile staggeringly wide variety hardwaremoreover 80 percent hiring managers reported prioritize talent relative skills areas 47 say likely hire candidate certificationthis course explores various tools techniques commonly used system administrators end users achieve daytoday work environment designed experienced computer limited previous exposure whether individual enterprise environmentupon completion training perspective allowing easily navigate distributions able continue progress either user administrator developer acquired skill setjoin 1000000 learners already enrolled start journey science
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",bioethics provides overview legal medical ethical questions around reproduction human genetics apply reasoning questionsthis law course includes interviews individuals used surrogacy sperm donation professionals experts current reproductive technologies like vitro fertilization preimplantation genetic diagnosis bioethicists journalists study ownership use information within tissue additional harvard colleagues also share thoughts topics disability relates technologywhile ethics surrounding central component show examples deeply personal side issues throughout help students discuss leading cases field illuminate types struggled – stretching evolving time famous baby case paternity donors related turned commercial product others rhetorical underpinnings served basis various court decisions past 20 30 years explore potential future implications society enhancements increase intelligence let us live hundred longer make immune diseases possibility creating animalhuman hybrids example mouse humanized brainthe content intended instructive applied could parenthood material organized considered authoritative serve advice medicine
Shakespeare's Life and Work,read shakespeare plays belong past present famed dramatic genius readers audiences around globe really mean moving world lived day course introduce different kinds literary analysis use reading short videos filmed location england readings covering topics like shakespeares contemporaries politics modern performance learn range critical tool unlock meaning relevance ’ join us visit stratforduponavon born 1564 london lively city began actor theater first performed journey life transport another era give new perspective timeless work humanities
